,past,positive,future,negative,friends
Q01,0.554237087099742,0.220651090029719,0.212946449740498,-0.0470308893418592,0.0726127629120842
Q02,0.503880517095214,0.0784554973200046,-0.136844973869406,-0.235813652761798,-0.0930427155725896
Q03,0.678327273234786,-0.0650897017368513,-0.292456931593278,-0.326488414123483,0.148367106453846
Q04,0.569516378431123,-0.0841318013080971,-0.115543760450965,-0.264013988389571,0.334192994436332
Q05,0.405153364774456,0.0282974018573663,0.126531830186856,0.0226121421248311,-0.0325591549492326
Q06,0.649956119799231,0.00412896427358169,0.0738284932592225,-0.175493529327367,-0.258394506972224
Q07,0.709797729970435,0.205498307778349,-0.425626946991242,-0.0490316118834472,-0.0582373513179055
Q08,0.661571490442049,0.241098996716585,-0.301725440653356,0.120740507365705,-0.098673526699701
Q09,0.479547040162053,0.204271914929747,0.073921761877896,0.159120682787025,-0.166751990937396
Q11,0.633805052216519,0.0608293857132227,-0.0343453340378826,-0.105253929815484,-0.0164739416559816
Q12,0.547175460428421,0.231904730237974,-0.314417184315005,0.213641641936807,0.0540920533372531
Q13,0.545670221356873,0.463095981067647,0.0815900084072889,0.33984279767107,-0.0221351495708779
Q14,0.655256286570886,-0.565259035493552,0.00290829301915117,0.255472118622692,-0.0997498960036455
Q15,0.586777352314187,-0.620024297803873,-0.015840809996636,0.374279984723641,-0.104692400137285
Q16,0.423567154602179,-0.406027871635009,-0.00196397665227382,0.177334461022167,0.270727577529972
Q17,0.525971434223514,0.4351912603613,0.144814605643723,0.143255821606689,0.00741937974666925
Q18,0.616905290773099,-0.264730732891328,0.0407449848809635,-0.00846030912793071,0.270642118976706
Q19,0.618401795868341,-0.132830233539087,0.371235950997903,-0.169844523498476,0.029691572362774
Q20,0.664756249194445,-0.145841704066889,0.195397741752546,-0.180376747746829,-0.259141796757926
Q21,0.684233066195528,-0.12122613649395,0.171761361559551,-0.225381694970337,-0.165971323230712
Q22,0.496395961814889,0.353068499465737,0.446286522354435,0.0964239444297146,0.27546314750452
Q23,0.444167451494995,0.0495364127892441,-0.135488980515737,0.143257030024904,0.108733337950779